price_quintile,price_tier,num_sales,min_price,max_price,avg_price,avg_assessed,median_ratio,mean_ratio
1,1. Bottom 20% (Cheapest),23353,30000.0,120000.0,75922.0,77302.0,0.9863,1.0598
2,2. Lower-Mid 20%,23353,120000.0,200000.0,160376.0,126011.0,0.7502,0.791
3,3. Middle 20%,23353,200000.0,279900.0,238224.0,174741.0,0.7257,0.7342
4,4. Upper-Mid 20%,23353,279900.0,418250.0,336384.0,247936.0,0.7339,0.7362
5,5. Top 20% (Most Expensive),23353,418367.0,5000000.0,885566.0,650417.0,0.7653,0.7485
